MemberID,Age,Gender,Postcode,Sector,JobGrade,AnnualSalary,YearsService,Status
MB00000001,26,F,EC1A XXX,Finance,Analyst,35000,5,Active
MB00000002,27,M,G1 XXX,Manufacturing,Technician,28000,6,Active
MB00000003,30,O,LS1 XXX,Public Service,Senior Officer,42000,9,Deferred
MB00000004,31,F,SW1A XXX,Healthcare,Band 5,34000,10,Active
MB00000005,35,M,W1A XXX,Education,Teacher,30000,14,Active
MB00000006,41,M,N1 XXX,Retail,Sales Assistant,26000,20,Deferred
MB00000007,43,F,M2 XXX,Finance,Manager,55000,21,Active
MB00000008,45,F,BS1 XXX,Other,Manager,60000,23,Active
MB00000009,49,M,EH1 XXX,Manufacturing,Supervisor,32000,26,Active
MB00000010,22,F,E1 XXX,Public Service,Principal Officer,60000,1,Active
MB00000011,27,F,M3 XXX,Healthcare,Band 6,46000,6,Deferred
MB00000012,29,M,G2 XXX,Finance,Associate,46000,8,Active
MB00000013,33,F,CF10 XXX,Education,Senior Teacher,45000,12,Pensioner
MB00000014,36,M,L2 XXX,Retail,Store Manager,34000,15,Active
MB00000015,37,F,B3 XXX,Other,Consultant,40000,16,Active
MB00000016,38,F,EH2 XXX,Manufacturing,Senior Technician,38000,17,Active
MB00000017,28,F,SW1A XXX,Finance,Senior Analyst,37000,7,Active
MB00000018,65,M,L1 XXX,Public Service,Grade 6,45000,34,Pensioner
MB00000019,32,M,M1 XXX,Healthcare,Senior Practitioner,52000,11,Active
MB00000020,34,F,EC1A XXX,Education,Deputy Head,55000,13,Deferred
MB00000021,26,F,B1 XXX,Retail,Area Manager,36000,5,Active
MB00000022,47,M,E1 XXX,Other,Senior Consultant,44000,26,Deferred
MB00000023,51,F,N1 XXX,Finance,Director,80000,30,Pensioner
MB00000024,39,M,EH1 XXX,Public Service,Grade 7,35000,18,Active
MB00000025,40,F,B2 XXX,Healthcare,Band 7,48000,19,Active
MB00000026,42,M,M2 XXX,Education,Head of Department,60000,20,Deferred
MB00000027,48,F,SW1A XXX,Retail,Supervisor,24000,27,Active
MB00000028,44,F,W1A XXX,Other,Associate,30000,22,Active
MB00000029,46,M,M3 XXX,Manufacturing,Production Manager,45000,25,Deferred
MB00000030,50,F,L1 XXX,Finance,Senior Manager,70000,29,Active
MB00000031,52,M,G1 XXX,Public Service,Senior Officer,55000,31,Pensioner
MB00000032,53,F,CF11 XXX,Healthcare,Band 6,44000,32,Pensioner
MB00000033,56,F,LS2 XXX,Education,Teacher,35000,35,Pensioner
MB00000034,58,M,EC1A XXX,Retail,Sales Assistant,20000,37,Pensioner
MB00000035,60,F,LS1 XXX,Other,Senior Consultant,55000,39,Pensioner
MB00000036,62,M,B1 XXX,Manufacturing,Technician,29000,41,Pensioner
MB00000037,28,F,G2 XXX,Retail,Supervisor,30000,7,Active
MB00000038,29,M,E1 XXX,Finance,Analyst,37000,8,Active
MB00000039,24,F,L2 XXX,Public Service,Grade 7,25000,3,Active
MB00000040,25,F,BS2 XXX,Finance,Senior Analyst,45000,4,Active
MB00000041,43,M,N1 XXX,Healthcare,Band 5,42000,22,Deferred
MB00000042,65,F,M1 XXX,Education,Head of Department,65000,34,Pensioner
MB00000043,45,M,EH2 XXX,Retail,Store Manager,35000,24,Deferred
MB00000044,30,F,B3 XXX,Other,Consultant,46000,9,Active
MB00000045,40,F,SW1A XXX,Manufacturing,Senior Technician,36000,19,Active
MB00000046,50,F,W1A XXX,Retail,Sales Assistant,29000,29,Active
MB00000047,36,F,M3 XXX,Finance,Manager,58000,15,Active
MB00000048,26,M,L1 XXX,Public Service,Grade 6,32000,5,Active
MB00000049,28,F,G1 XXX,Healthcare,Band 5,30000,7,Active
MB00000050,32,M,CF10 XXX,Education,Teacher,31000,11,Active
MB00000051,38,F,LS2 XXX,Other,Associate,35000,17,Active
MB00000052,54,M,EC1A XXX,Manufacturing,Technician,28000,33,Pensioner
MB00000053,42,M,B1 XXX,Retail,Area Manager,36000,21,Active
MB00000054,49,F,E1 XXX,Finance,Senior Manager,74000,28,Deferred
MB00000055,46,M,N1 XXX,Public Service,Principal Officer,75000,25,Active
MB00000056,33,F,M2 XXX,Healthcare,Senior Practitioner,50000,12,Active
MB00000057,55,M,BS2 XXX,Education,Deputy Head,60000,34,Pensioner
MB00000058,45,F,EH1 XXX,Retail,Store Manager,31000,24,Deferred
MB00000059,37,M,LS1 XXX,Other,Senior Consultant,47000,16,Active
MB00000060,39,F,SW1A XXX,Manufacturing,Supervisor,32000,18,Active
MB00000061,48,M,W1A XXX,Retail,Area Manager,37000,27,Deferred
MB00000062,51,F,M3 XXX,Finance,Senior Manager,76000,30,Pensioner
MB00000063,29,F,L1 XXX,Public Service,Senior Officer,37000,8,Active
MB00000064,31,M,G2 XXX,Healthcare,Band 6,45000,10,Active
MB00000065,49,F,CF11 XXX,Education,Senior Teacher,50000,28,Deferred
MB00000066,36,M,LS2 XXX,Other,Associate,35000,15,Active
MB00000067,40,F,EC1A XXX,Manufacturing,Senior Technician,39000,19,Deferred
MB00000068,28,M,B2 XXX,Retail,Supervisor,29000,7,Active
MB00000069,32,F,E1 XXX,Finance,Associate,48000,11,Active
MB00000070,42,F,N1 XXX,Public Service,Grade 7,35000,21,Deferred
MB00000071,47,M,M1 XXX,Healthcare,Band 7,47000,26,Active
MB00000072,54,F,G1 XXX,Education,Teacher,31000,33,Pensioner
MB00000073,44,M,CF10 XXX,Retail,Store Manager,35000,23,Deferred
MB00000074,38,F,BS1 XXX,Other,Consultant,46000,18,Active
MB00000075,35,M,EH1 XXX,Manufacturing,Production Manager,44000,14,Active
MB00000076,41,F,LS1 XXX,Retail,Sales Assistant,22000,20,Deferred
MB00000077,48,M,SW1A XXX,Finance,Director,90000,27,Active
MB00000078,49,F,W1A XXX,Public Service,Principal Officer,78000,28,Deferred
MB00000079,50,M,M3 XXX,Healthcare,Band 6,44000,29,Pensioner
MB00000080,53,F,L2 XXX,Education,Senior Teacher,55000,32,Pensioner
MB00000081,56,F,EC1A XXX,Retail,Supervisor,32000,35,Pensioner
MB00000082,58,M,G2 XXX,Other,Manager,65000,37,Pensioner
MB00000083,61,F,B3 XXX,Manufacturing,Technician,27000,40,Pensioner
MB00000084,25,M,EH2 XXX,Finance,Analyst,34000,4,Active
MB00000085,29,F,CF11 XXX,Public Service,Grade 6,43000,8,Active
MB00000086,31,M,LS1 XXX,Healthcare,Band 5,34000,10,Active
MB00000087,26,F,SW1A XXX,Education,Teacher,28000,5,Active
MB00000088,27,F,EH2 XXX,Other,Associate,32000,6,Active
MB00000089,32,M,B2 XXX,Retail,Sales Assistant,24000,11,Active
MB00000090,45,F,E1 XXX,Finance,Senior Analyst,57000,24,Deferred
MB00000091,47,M,N1 XXX,Public Service,Principal Officer,72000,26,Active
MB00000092,51,F,BS2 XXX,Healthcare,Band 7,46000,30,Pensioner
MB00000093,55,F,M1 XXX,Education,Deputy Head,60000,34,Pensioner
MB00000094,39,F,EH1 XXX,Retail,Store Manager,31000,18,Active
MB00000095,36,M,LS2 XXX,Other,Consultant,45000,15,Active
MB00000096,48,F,W1A XXX,Manufacturing,Production Manager,42000,27,Deferred
MB00000097,41,M,M3 XXX,Retail,Area Manager,36000,20,Active
MB00000098,50,F,L1 XXX,Finance,Senior Manager,74000,29,Pensioner
MB00000099,60,M,G1 XXX,Public Service,Grade 6,45000,39,Pensioner
MB00000100,40,F,CF10 XXX,Healthcare,Band 5,35000,19,Deferred
